                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.6528,                0.48489,                0.81071,                0.99868,                      1,                  0.995,                0.90104,                0.51592,                0.41085,                0.79594,                      0,                      0,                      0
                      1,                0.72331,                0.52482,                0.79108,                0.99865,                      1,                  0.995,                0.89663,                0.51633,                0.40733,                 0.7962,             1.5845e-05,             1.5845e-05,             1.5845e-05
                      2,                0.64855,                0.48133,                0.80224,                0.99864,                      1,                  0.995,                0.89715,                0.51552,                0.40673,                0.79605,             3.0039e-05,             3.0039e-05,             3.0039e-05
                      3,                0.51777,                0.44911,                0.79404,                0.99853,                      1,                  0.995,                0.89544,                0.51462,                0.40342,                0.79594,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      4,                0.63638,                0.45799,                0.80211,                0.99849,                      1,                  0.995,                0.89539,                 0.5147,                0.40093,                0.79592,             5.3477e-05,             5.3477e-05,             5.3477e-05
                      5,                0.58884,                0.44597,                0.80043,                0.99805,                      1,                  0.995,                0.89035,                0.54347,                0.50012,                0.79254,             6.2721e-05,             6.2721e-05,             6.2721e-05
                      6,                0.65574,                0.48672,                0.81304,                0.99833,                      1,                  0.995,                0.89393,                0.54921,                0.47689,                0.79355,             7.0314e-05,             7.0314e-05,             7.0314e-05
                      7,                0.75149,                0.52745,                0.80476,                0.99875,                      1,                  0.995,                 0.8859,                0.54628,                0.44309,                0.79599,             7.6257e-05,             7.6257e-05,             7.6257e-05
                      8,                0.53181,                0.41806,                0.78278,                0.99863,                      1,                  0.995,                   0.88,                0.56811,                0.42046,                0.79626,             8.0549e-05,             8.0549e-05,             8.0549e-05
                      9,                0.63002,                 0.4507,                 0.8171,                0.99851,                      1,                  0.995,                0.87541,                0.56857,                0.40879,                0.79402,             8.3192e-05,             8.3192e-05,             8.3192e-05
                     10,                0.62568,                0.44472,                0.79524,                0.99806,                      1,                  0.995,                 0.8951,                0.52475,                0.40687,                0.79043,             8.4183e-05,             8.4183e-05,             8.4183e-05
                     11,                0.53768,                0.38245,                 0.8118,                0.99763,                      1,                  0.995,                0.90233,                0.50136,                0.41792,                0.78932,             8.3525e-05,             8.3525e-05,             8.3525e-05
                     12,                 0.5003,                 0.3878,                0.77912,                0.99933,                      1,                  0.995,                0.90191,                0.49065,                0.42634,                0.78933,             8.1216e-05,             8.1216e-05,             8.1216e-05
                     13,                 0.6616,                 0.4402,                0.79983,                0.99542,                      1,                  0.995,                0.90714,                0.46975,                0.41193,                0.79031,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     14,                0.52013,                0.43394,                0.78678,                0.98599,                0.99859,                0.99473,                0.90809,                0.45997,                0.40785,                0.79102,             7.1648e-05,             7.1648e-05,             7.1648e-05
                     15,                0.53746,                0.40371,                 0.8114,                0.98589,                      1,                0.99473,                0.90963,                0.46418,                0.42426,                0.79229,             6.4388e-05,             6.4388e-05,             6.4388e-05
                     16,                0.45173,                0.37414,                0.77143,                 0.9823,                      1,                0.99432,                0.90605,                0.46722,                0.42987,                0.79146,             5.5478e-05,             5.5478e-05,             5.5478e-05
                     17,                0.61603,                0.41067,                0.78696,                 0.9823,                      1,                0.99432,                0.90605,                0.46722,                0.42987,                0.79146,             4.4917e-05,             4.4917e-05,             4.4917e-05
                     18,                0.59955,                 0.4109,                0.80537,                0.98997,                      1,                  0.995,                0.90986,                0.46524,                 0.4219,                0.79089,             3.2707e-05,             3.2707e-05,             3.2707e-05
                     19,                0.55574,                0.39894,                0.79819,                0.98997,                      1,                  0.995,                0.90986,                0.46524,                 0.4219,                0.79089,             1.8845e-05,             1.8845e-05,             1.8845e-05
