                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2327,                 10.343,                 1.7193,                0.00311,                    0.8,                0.00471,                0.00183,                 2.1369,                 14.453,                 1.9361,                      0,                      0,                      0
                      1,                  1.805,                 7.5644,                 1.8377,                0.00475,                0.26667,                 0.0048,                0.00188,                 2.1178,                 14.323,                 1.9312,              1.934e-05,              1.934e-05,              1.934e-05
                      2,                 2.1223,                 8.2603,                 1.9607,                0.00453,                0.26667,                0.00486,                0.00192,                 2.0822,                 14.389,                 1.9157,              3.736e-05,              3.736e-05,              3.736e-05
                      3,                 1.9293,                 7.4652,                 1.7946,                0.00614,                0.26667,                0.00509,                0.00194,                 2.0693,                 14.212,                 1.9131,              5.406e-05,              5.406e-05,              5.406e-05
                      4,                   1.99,                 7.9334,                 1.7679,                0.00521,                    0.2,                 0.0052,                0.00198,                 2.0743,                 13.812,                 1.9024,              6.944e-05,              6.944e-05,              6.944e-05
                      5,                 2.2044,                 7.8099,                 2.0801,                0.00396,                0.13333,                0.00523,                 0.0021,                 2.0562,                 13.445,                  1.899,               8.35e-05,               8.35e-05,               8.35e-05
                      6,                 2.0347,                 8.9345,                 1.5829,                0.00417,                0.13333,                0.00523,                0.00214,                 2.0116,                 13.536,                 1.8833,              9.624e-05,              9.624e-05,              9.624e-05
                      7,                 1.9659,                 7.3153,                 1.6849,                 0.0042,                0.13333,                0.00535,                0.00213,                 1.9851,                 13.417,                 1.8695,             0.00010766,             0.00010766,             0.00010766
                      8,                 2.0725,                 8.8351,                 1.8899,                0.53434,                0.53333,                0.52732,                0.33513,                 1.2943,                 9.8554,                  1.329,             0.00011776,             0.00011776,             0.00011776
                      9,                 1.7811,                 4.7375,                 1.4602,                0.69688,                    0.6,                0.61688,                0.28572,                 1.0423,                 6.7835,                 1.2186,             0.00012654,             0.00012654,             0.00012654
                     10,                 1.3182,                  2.936,                 1.2221,                 0.5411,                0.66667,                0.66221,                0.39025,                0.99428,                 6.2457,                 1.1553,               0.000134,               0.000134,               0.000134
                     11,                 1.3262,                 2.3668,                 1.1792,                0.89213,                0.86667,                0.87904,                0.55612,                 1.0374,                 4.6503,                 1.1262,             0.00014014,             0.00014014,             0.00014014
                     12,                 1.4864,                 2.2347,                 1.2684,                0.63258,                0.66667,                0.69521,                0.48506,                 1.0536,                 4.1629,                 1.1104,             0.00014496,             0.00014496,             0.00014496
                     13,                 1.3895,                   2.22,                 1.2305,                0.62148,                    0.8,                0.79104,                0.54474,                 1.0576,                 3.7973,                 1.1296,             0.00014846,             0.00014846,             0.00014846
                     14,                 1.3045,                 2.4638,                 1.2512,                0.79213,                0.76328,                0.86939,                0.58788,                0.98873,                 4.2414,                 1.1413,             0.00015064,             0.00015064,             0.00015064
                     15,                  1.273,                 1.9187,                  1.129,                0.86638,                    0.8,                0.89012,                0.61461,                0.96397,                 4.1744,                 1.1341,              0.0001515,              0.0001515,              0.0001515
                     16,                  1.163,                 1.9963,                  1.141,                0.93448,                    0.8,                0.93068,                0.63902,                0.99201,                 3.8279,                 1.1136,             0.00015104,             0.00015104,             0.00015104
                     17,                 1.2269,                 1.7414,                 1.0933,                0.93448,                    0.8,                0.93068,                0.63902,                0.99201,                 3.8279,                 1.1136,             0.00014926,             0.00014926,             0.00014926
                     18,                 1.3566,                 1.8044,                 1.3661,                      1,                0.84545,                0.95857,                0.70846,                 0.9438,                 3.1161,                 1.0674,             0.00014616,             0.00014616,             0.00014616
                     19,                 1.0881,                 1.7054,                 1.0771,                      1,                0.84545,                0.95857,                0.70846,                 0.9438,                 3.1161,                 1.0674,             0.00014174,             0.00014174,             0.00014174
                     20,                 1.1748,                 1.6251,                 1.0962,                0.99649,                0.86667,                0.95726,                0.73352,                0.84683,                 2.5884,                 1.0396,               0.000136,               0.000136,               0.000136
                     21,                 1.0426,                 1.4797,                 1.0818,                0.99649,                0.86667,                0.95726,                0.73352,                0.84683,                 2.5884,                 1.0396,             0.00012894,             0.00012894,             0.00012894
                     22,                 1.1501,                 1.5622,                 1.2213,                      1,                0.86308,                0.96375,                 0.7582,                0.80927,                 2.1825,                 1.0236,             0.00012056,             0.00012056,             0.00012056
                     23,                 1.1267,                 1.6195,                 1.0688,                      1,                0.86308,                0.96375,                 0.7582,                0.80927,                 2.1825,                 1.0236,             0.00011086,             0.00011086,             0.00011086
                     24,                 1.2786,                 1.8383,                 1.1684,                0.93308,                0.92979,                0.97533,                0.80373,                 0.7503,                 1.9657,                 1.0077,              9.984e-05,              9.984e-05,              9.984e-05
                     25,                  1.002,                 1.4999,                 1.1161,                0.93308,                0.92979,                0.97533,                0.80373,                 0.7503,                 1.9657,                 1.0077,               8.75e-05,               8.75e-05,               8.75e-05
                     26,                0.98296,                 1.4463,                 1.0557,                 0.9868,                0.93333,                  0.985,                0.84873,                0.70703,                 1.8279,                 0.9948,              7.384e-05,              7.384e-05,              7.384e-05
                     27,                0.89362,                 1.3683,                 1.0802,                 0.9868,                0.93333,                  0.985,                0.84873,                0.70703,                 1.8279,                 0.9948,              5.886e-05,              5.886e-05,              5.886e-05
