                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2327,                 10.343,                 1.7193,                0.00311,                    0.8,                0.00471,                0.00183,                 2.1369,                 14.453,                 1.9361,                      0,                      0,                      0
                      1,                  1.805,                 7.5644,                 1.8377,                0.00475,                0.26667,                 0.0048,                0.00188,                 2.1178,                 14.323,                 1.9312,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      2,                 2.1223,                 8.2603,                 1.9607,                0.00453,                0.26667,                0.00486,                0.00192,                 2.0822,                 14.389,                 1.9157,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      3,                 1.9293,                 7.4652,                 1.7946,                0.00614,                0.26667,                0.00509,                0.00194,                 2.0693,                 14.212,                 1.9131,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      4,                   1.99,                 7.9334,                 1.7679,                0.00521,                    0.2,                 0.0052,                0.00198,                 2.0743,                 13.812,                 1.9024,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      5,                 2.2044,                 7.8099,                 2.0801,                0.00396,                0.13333,                0.00523,                 0.0021,                 2.0562,                 13.445,                  1.899,               9.01e-05,               9.01e-05,               9.01e-05
                      6,                 2.0347,                 8.9345,                 1.5829,                0.00417,                0.13333,                0.00523,                0.00214,                 2.0116,                 13.536,                 1.8833,             0.00010574,             0.00010574,             0.00010574
                      7,                 1.9659,                 7.3153,                 1.6849,                 0.0042,                0.13333,                0.00535,                0.00213,                 1.9851,                 13.417,                 1.8695,              0.0001206,              0.0001206,              0.0001206
                      8,                 2.0725,                 8.8351,                 1.8899,                 0.6305,                0.53333,                0.57927,                0.35595,                 1.2676,                 10.922,                 1.3337,             0.00013466,             0.00013466,             0.00013466
                      9,                 1.7528,                 4.7506,                  1.433,                0.91387,                0.53333,                0.67947,                0.31538,                 1.0885,                 6.9621,                 1.2198,             0.00014792,             0.00014792,             0.00014792
                     10,                 1.2868,                 3.0447,                 1.2309,                0.49112,                0.66667,                0.70418,                 0.3982,                 1.0734,                  6.356,                 1.2142,              0.0001604,              0.0001604,              0.0001604
                     11,                  1.312,                 2.3142,                 1.1901,                0.72905,                    0.8,                0.84438,                0.55881,                 1.0938,                 5.8107,                 1.2122,             0.00017208,             0.00017208,             0.00017208
                     12,                 1.5349,                 2.1386,                 1.2679,                0.64394,                0.73333,                0.72565,                0.48538,                 1.1977,                 4.7813,                 1.2188,             0.00018298,             0.00018298,             0.00018298
                     13,                 1.4862,                 2.2237,                 1.2819,                0.74478,                0.86667,                0.83004,                0.51786,                 1.1531,                 4.1316,                 1.2071,             0.00019308,             0.00019308,             0.00019308
                     14,                 1.3388,                 2.5123,                 1.2543,                0.90219,                    0.8,                0.89692,                0.53784,                 1.0831,                 4.4347,                 1.1551,             0.00020238,             0.00020238,             0.00020238
                     15,                 1.3393,                 2.0306,                 1.1717,                0.83721,                    0.8,                0.90849,                0.55353,                 1.1523,                 4.7242,                 1.1574,              0.0002109,              0.0002109,              0.0002109
                     16,                 1.1732,                 2.0066,                 1.1787,                0.92932,                    0.8,                0.92639,                 0.6055,                  1.175,                 3.8998,                 1.1765,             0.00021862,             0.00021862,             0.00021862
                     17,                 1.1815,                 1.7078,                 1.0583,                0.92932,                    0.8,                0.92639,                 0.6055,                  1.175,                 3.8998,                 1.1765,             0.00022556,             0.00022556,             0.00022556
                     18,                 1.2178,                 1.8562,                 1.2907,                      1,                0.83274,                0.95265,                0.62587,                 1.1491,                 3.2521,                  1.178,              0.0002317,              0.0002317,              0.0002317
                     19,                 1.1734,                 1.6299,                 1.1244,                      1,                0.83274,                0.95265,                0.62587,                 1.1491,                 3.2521,                  1.178,             0.00023704,             0.00023704,             0.00023704
                     20,                 1.2817,                  1.599,                 1.1651,                0.87253,                0.93333,                 0.9306,                 0.6584,                 1.0846,                    2.7,                 1.1294,              0.0002416,              0.0002416,              0.0002416
                     21,                 1.0905,                 1.4932,                  1.055,                0.87253,                0.93333,                 0.9306,                 0.6584,                 1.0846,                    2.7,                 1.1294,             0.00024536,             0.00024536,             0.00024536
                     22,                 1.1916,                 1.6447,                 1.2336,                0.80509,                0.93333,                0.93377,                0.66499,                 1.0435,                 2.5364,                 1.1366,             0.00024834,             0.00024834,             0.00024834
                     23,                 1.2856,                 1.7015,                 1.1283,                0.80509,                0.93333,                0.93377,                0.66499,                 1.0435,                 2.5364,                 1.1366,             0.00025052,             0.00025052,             0.00025052
